mean,std,min,max,all
82.744,1.024,81.322,84.052,73.333
82.716,1.537,80.603,85.273,49.167
82.399,0.967,81.034,83.693,72.083
82.874,0.651,81.825,83.477,89.583
82.198,1.005,81.034,83.836,32.083
83.908,1.27,82.04,85.201,44.583
83.233,0.889,81.681,84.267,63.75
82.155,0.962,81.034,83.549,83.333
83.175,0.98,81.753,84.124,21.25
83.549,0.569,82.471,84.052,34.583
83.218,1.632,80.819,85.56,26.667
82.644,1.249,80.244,83.908,69.167
83.664,1.241,81.537,85.273,20.833
83.276,1.116,81.681,84.914,25.417
82.069,0.42,81.537,82.687,69.167
81.767,0.928,80.747,83.046,47.083
83.578,0.932,81.968,84.77,73.333
82.241,0.69,81.25,83.118,78.333
82.874,1.035,82.04,84.77,62.5
82.17,1.156,80.172,83.405,74.583
82.486,0.86,81.466,83.621,60.833
84.095,1.192,82.902,86.351,27.083
82.572,0.876,81.609,84.052,57.5
82.443,0.576,81.753,83.477,77.5
83.506,1.165,81.825,84.986,32.5
83.721,0.891,82.471,84.555,28.333
83.434,0.69,82.471,84.626,45.417
82.586,1.052,81.322,84.124,49.583
82.256,1.457,79.526,83.764,40.417
83.233,0.758,82.399,84.626,45.0
82.893,0.992,81.485,84.239,52.5
