mean,std,min,max,all
82.241,0.529,81.466,82.759,72.083
82.443,0.725,81.394,83.477,39.167
82.557,0.888,81.322,83.621,68.75
82.055,1.116,80.316,83.549,87.5
82.687,1.314,80.388,84.267,32.5
83.42,1.6,81.394,85.489,42.917
82.198,1.19,80.675,83.908,62.5
81.351,1.258,80.101,83.621,82.083
82.902,1.706,80.963,85.129,30.833
82.5,1.216,80.316,83.836,36.25
83.19,0.914,81.681,84.483,26.25
81.595,0.172,81.322,81.753,59.583
83.218,0.991,81.537,84.555,23.333
82.299,0.733,81.034,83.046,17.083
81.408,0.341,80.963,81.825,73.333
81.925,1.273,79.813,83.477,47.917
81.968,0.882,80.316,82.974,73.75
81.394,0.532,80.675,82.328,84.583
82.931,0.371,82.471,83.405,62.917
81.624,0.888,80.603,82.974,80.0
81.365,0.42,80.603,81.753,66.25
82.874,1.009,81.322,84.195,29.583
82.414,0.9,81.106,83.836,67.5
82.155,0.354,81.753,82.759,77.5
82.629,0.501,81.753,83.261,30.0
81.925,1.56,80.029,84.698,26.667
82.787,1.058,81.609,84.77,57.083
81.739,0.957,80.101,83.046,46.25
82.543,0.95,81.609,83.836,37.5
83.405,0.901,81.968,84.339,50.833
82.325,0.908,81.02,83.566,53.083
