m1,m2,m3,m4,m5,m6
86.207,78.621,83.793,86.897,76.983,79.655
85.776,81.034,84.483,87.759,77.586,80.431
86.466,80.172,85.172,87.931,76.983,78.879
85.948,80.172,83.707,87.414,76.983,79.569
86.121,80.862,86.724,88.19,77.155,80.0
87.414,80.862,86.638,89.483,80.517,79.569
87.241,80.603,85.69,88.362,76.379,79.224
85.086,80.517,84.31,87.414,78.276,78.621
86.983,81.121,85.776,88.707,79.31,79.655
85.69,82.069,85.948,88.017,79.138,79.483
85.948,81.293,87.069,90.086,79.31,81.034
86.466,80.259,83.621,87.328,78.707,79.31
85.776,80.172,85.603,89.397,80.345,80.603
85.172,80.603,86.379,86.983,79.052,78.362
87.241,79.138,85.69,87.845,76.466,78.103
86.207,79.224,85.517,87.328,79.483,80.862
85.862,80.172,86.552,88.276,79.224,79.569
86.81,80.0,85.517,86.897,78.017,79.741
85.603,80.172,85.603,87.241,77.931,79.224
85.172,80.603,85.259,87.931,76.724,80.69
86.81,79.828,85.086,87.414,77.069,78.621
86.466,79.397,87.155,89.569,78.276,80.517
86.121,81.466,85.69,88.017,78.19,79.224
87.586,79.741,85.948,89.31,78.017,78.19
86.207,82.672,84.741,86.552,78.362,80.862
87.5,81.638,85.0,90.086,78.017,80.172
87.241,80.603,84.569,89.138,80.517,80.086
86.379,78.966,86.207,87.328,79.31,81.983
85.345,79.914,84.397,88.276,77.328,78.534
87.069,81.983,85.69,90.0,77.845,80.776
86.33,80.463,85.451,88.173,78.25,79.718
0.719,0.93,0.936,1.014,1.159,0.935
