mean,std,min,max
98.333,2.041,95.833,100.0
83.333,2.946,79.167,87.5
95.0,2.125,91.667,97.917
94.583,2.125,91.667,97.917
87.5,2.946,83.333,91.667
72.5,6.374,64.583,83.333
89.583,5.103,83.333,93.75
95.0,2.125,91.667,97.917
82.5,5.035,75.0,89.583
83.75,5.496,77.083,93.75
67.5,5.368,58.333,72.917
98.75,1.021,97.917,100.0
79.167,3.727,75.0,83.333
86.667,3.385,81.25,91.667
96.667,2.125,93.75,100.0
95.833,1.863,93.75,97.917
96.25,1.559,93.75,97.917
99.583,0.833,97.917,100.0
95.0,2.125,91.667,97.917
94.167,6.236,83.333,100.0
95.0,2.125,91.667,97.917
80.417,2.5,77.083,83.333
94.583,2.826,91.667,97.917
90.417,3.864,85.417,95.833
85.833,3.062,81.25,89.583
85.417,6.719,75.0,95.833
80.417,2.125,77.083,83.333
95.833,2.282,91.667,97.917
92.5,4.29,87.5,97.917
77.5,3.333,72.917,81.25
88.986,3.256,84.375,93.195
