m1,m2,m3,m4,m5,m6
97.5,97.5,95.0,97.5,100.0,100.0
87.5,75.0,92.5,95.0,75.0,80.0
92.5,95.0,95.0,100.0,90.0,95.0
90.0,100.0,95.0,100.0,87.5,95.0
87.5,80.0,82.5,90.0,80.0,82.5
82.5,60.0,67.5,85.0,62.5,57.5
90.0,90.0,92.5,97.5,82.5,85.0
95.0,97.5,92.5,97.5,95.0,92.5
85.0,85.0,82.5,60.0,82.5,77.5
82.5,72.5,82.5,90.0,72.5,80.0
85.0,60.0,70.0,80.0,65.0,55.0
100.0,95.0,100.0,97.5,95.0,92.5
90.0,77.5,77.5,87.5,70.0,75.0
92.5,67.5,92.5,92.5,75.0,90.0
90.0,100.0,100.0,100.0,97.5,95.0
97.5,97.5,92.5,95.0,92.5,97.5
97.5,95.0,95.0,95.0,90.0,95.0
95.0,100.0,100.0,100.0,100.0,100.0
95.0,90.0,100.0,100.0,92.5,92.5
97.5,95.0,97.5,97.5,95.0,95.0
90.0,97.5,95.0,90.0,90.0,90.0
75.0,82.5,82.5,82.5,72.5,77.5
92.5,97.5,97.5,92.5,97.5,82.5
92.5,87.5,87.5,92.5,95.0,90.0
82.5,82.5,90.0,90.0,97.5,62.5
80.0,82.5,87.5,90.0,90.0,72.5
90.0,80.0,92.5,90.0,70.0,62.5
92.5,95.0,97.5,97.5,92.5,87.5
87.5,95.0,95.0,92.5,95.0,92.5
70.0,65.0,82.5,87.5,85.0,62.5
89.417,86.5,90.333,92.083,86.167,83.75
6.791,12.086,8.385,7.96,10.892,12.874
