mean,std,min,max
97.5,2.041,93.75,100.0
81.25,6.719,72.917,91.667
94.583,3.632,89.583,100.0
92.917,3.864,87.5,97.917
82.083,4.29,77.083,89.583
66.667,5.433,58.333,72.917
88.333,4.859,81.25,93.75
96.25,1.559,93.75,97.917
82.5,3.864,77.083,87.5
83.75,5.336,77.083,91.667
62.5,5.743,54.167,68.75
96.25,1.559,93.75,97.917
80.833,5.496,70.833,87.5
87.917,0.833,87.5,89.583
96.667,1.667,93.75,97.917
95.0,3.385,89.583,100.0
94.167,2.43,89.583,95.833
98.75,1.667,95.833,100.0
93.333,2.43,89.583,95.833
94.583,3.864,89.583,100.0
92.917,4.29,87.5,100.0
77.083,1.318,75.0,79.167
95.0,2.125,91.667,97.917
90.0,3.584,85.417,95.833
82.917,5.171,72.917,87.5
88.333,3.118,83.333,91.667
84.167,4.859,75.0,89.583
95.0,4.677,87.5,100.0
92.5,2.826,87.5,95.833
75.833,3.385,70.833,81.25
87.986,3.534,82.639,92.5
