m1,m2,m3,m4,m5,m6
97.5,97.5,97.5,100.0,100.0,100.0
80.0,70.0,95.0,97.5,77.5,80.0
87.5,95.0,97.5,100.0,90.0,92.5
92.5,97.5,95.0,100.0,87.5,95.0
87.5,85.0,87.5,87.5,85.0,87.5
72.5,52.5,65.0,82.5,62.5,52.5
92.5,92.5,95.0,95.0,87.5,77.5
97.5,97.5,100.0,95.0,92.5,92.5
85.0,85.0,75.0,77.5,85.0,82.5
87.5,72.5,82.5,90.0,75.0,82.5
87.5,57.5,70.0,70.0,70.0,67.5
97.5,100.0,97.5,97.5,97.5,97.5
87.5,77.5,80.0,82.5,70.0,70.0
90.0,75.0,92.5,87.5,82.5,87.5
95.0,100.0,100.0,97.5,97.5,97.5
95.0,97.5,95.0,97.5,95.0,97.5
100.0,92.5,95.0,92.5,90.0,92.5
95.0,100.0,100.0,100.0,100.0,100.0
95.0,90.0,100.0,100.0,95.0,92.5
92.5,95.0,97.5,100.0,92.5,92.5
87.5,97.5,90.0,97.5,92.5,87.5
80.0,85.0,82.5,80.0,70.0,72.5
95.0,97.5,100.0,87.5,97.5,82.5
92.5,95.0,87.5,95.0,85.0,82.5
82.5,80.0,87.5,90.0,95.0,67.5
77.5,85.0,92.5,92.5,90.0,75.0
90.0,82.5,92.5,90.0,72.5,67.5
95.0,97.5,100.0,97.5,92.5,92.5
87.5,95.0,85.0,97.5,92.5,90.0
70.0,70.0,80.0,87.5,80.0,65.0
89.083,87.167,90.5,92.167,86.667,84.0
7.317,12.612,9.251,7.603,10.048,12.017
