mean,std,min,max
97.917,1.318,95.833,100.0
84.167,3.385,79.167,89.583
94.583,2.5,91.667,97.917
94.583,2.826,89.583,97.917
83.75,4.823,77.083,91.667
69.167,7.144,58.333,79.167
89.583,4.37,83.333,93.75
95.0,3.118,89.583,97.917
78.75,4.449,70.833,83.333
80.0,5.204,75.0,89.583
69.167,4.823,64.583,75.0
96.667,1.667,93.75,97.917
79.583,5.171,72.917,85.417
85.0,6.897,75.0,93.75
97.083,2.826,93.75,100.0
95.417,5.171,85.417,100.0
94.583,2.125,91.667,97.917
99.167,1.021,97.917,100.0
95.0,3.385,91.667,100.0
96.25,2.041,93.75,100.0
92.083,3.333,87.5,95.833
78.75,7.022,70.833,91.667
93.333,2.43,89.583,95.833
90.833,5.204,81.25,95.833
84.167,5.035,75.0,89.583
83.75,4.249,77.083,89.583
80.833,3.333,77.083,85.417
93.75,3.727,89.583,97.917
92.917,2.826,89.583,97.917
75.417,6.77,64.583,85.417
88.042,3.94,82.43,93.194
