m1,m2,m3,m4,m5,m6
97.5,97.5,95.0,100.0,100.0,95.0
90.0,62.5,95.0,97.5,62.5,80.0
95.0,95.0,95.0,92.5,95.0,95.0
85.0,100.0,92.5,97.5,87.5,95.0
87.5,80.0,87.5,70.0,80.0,87.5
67.5,55.0,75.0,72.5,80.0,50.0
92.5,82.5,92.5,97.5,90.0,75.0
97.5,100.0,95.0,97.5,95.0,92.5
82.5,90.0,80.0,72.5,82.5,87.5
85.0,72.5,90.0,90.0,77.5,87.5
85.0,60.0,60.0,70.0,50.0,50.0
97.5,97.5,100.0,97.5,95.0,90.0
92.5,77.5,75.0,77.5,82.5,80.0
95.0,77.5,92.5,90.0,82.5,90.0
95.0,100.0,100.0,95.0,92.5,97.5
97.5,95.0,97.5,100.0,90.0,90.0
95.0,90.0,92.5,95.0,95.0,97.5
95.0,100.0,100.0,100.0,100.0,97.5
92.5,90.0,100.0,92.5,87.5,97.5
95.0,92.5,95.0,95.0,95.0,95.0
90.0,95.0,95.0,92.5,92.5,92.5
77.5,82.5,87.5,80.0,65.0,70.0
95.0,95.0,100.0,95.0,92.5,92.5
95.0,90.0,87.5,92.5,85.0,90.0
77.5,77.5,92.5,85.0,95.0,70.0
82.5,92.5,92.5,97.5,92.5,72.5
80.0,85.0,92.5,92.5,85.0,70.0
95.0,95.0,100.0,97.5,90.0,92.5
85.0,95.0,97.5,90.0,95.0,92.5
77.5,62.5,80.0,80.0,82.5,72.5
89.167,86.167,91.167,90.083,86.5,84.833
7.619,12.76,9.008,9.343,11.042,12.925
