mean,std,min,max
98.75,1.021,97.917,100.0
83.333,1.863,81.25,85.417
93.75,1.863,91.667,95.833
94.583,1.667,91.667,95.833
86.667,5.204,77.083,91.667
64.583,5.893,54.167,70.833
90.0,3.584,83.333,93.75
95.833,1.863,93.75,97.917
81.667,4.823,75.0,87.5
81.667,5.0,77.083,89.583
70.417,5.803,64.583,81.25
97.917,2.635,93.75,100.0
77.917,3.118,75.0,83.333
85.833,6.641,72.917,91.667
97.917,2.635,93.75,100.0
96.25,2.764,91.667,100.0
93.75,2.282,91.667,97.917
99.167,1.667,95.833,100.0
95.417,3.062,91.667,100.0
95.0,3.385,91.667,100.0
92.083,2.43,89.583,95.833
78.333,9.373,62.5,87.5
93.333,2.43,89.583,95.833
89.583,5.893,79.167,95.833
83.75,6.77,72.917,93.75
85.417,1.863,83.333,87.5
82.5,2.125,79.167,85.417
95.833,2.635,91.667,97.917
91.25,2.041,89.583,93.75
75.417,4.449,68.75,81.25
88.264,3.559,83.056,92.569
