0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
65.833,68.519,72.917,73.214,71.528,70.0,73.958,75.0,77.083,83.333
39.583,39.815,42.188,44.643,42.361,44.167,44.792,50.0,52.083,58.333
71.25,77.315,76.562,78.571,77.778,80.0,77.083,75.0,77.083,83.333
85.417,87.5,91.146,91.071,91.667,91.667,90.625,91.667,89.583,91.667
39.167,43.519,46.354,47.619,44.444,47.5,44.792,40.278,33.333,29.167
46.25,44.444,48.958,51.19,50.694,49.167,51.042,51.389,56.25,50.0
69.167,72.222,73.438,73.81,70.833,74.167,78.125,77.778,75.0,83.333
80.833,86.574,86.979,88.095,87.5,90.0,90.625,90.278,85.417,91.667
31.25,34.722,35.417,35.119,34.028,35.833,36.458,36.111,35.417,37.5
40.417,37.5,42.188,37.5,34.722,35.833,31.25,33.333,25.0,37.5
24.583,29.167,27.604,27.381,26.389,26.667,26.042,26.389,31.25,20.833
46.25,48.611,55.208,55.952,60.417,60.0,60.417,61.111,60.417,66.667
21.667,25.926,25.521,24.405,25.0,24.167,23.958,22.222,20.833,8.333
28.75,28.704,27.083,28.571,28.472,31.667,25.0,23.611,31.25,37.5
82.083,89.352,89.583,89.881,94.444,96.667,95.833,95.833,95.833,95.833
50.417,61.574,60.938,60.119,60.417,57.5,59.375,61.111,62.5,66.667
67.5,69.907,72.917,73.214,72.222,72.5,70.833,69.444,68.75,62.5
84.167,86.574,84.375,83.333,84.722,86.667,88.542,91.667,91.667,100.0
65.833,68.519,67.188,69.643,70.833,75.0,76.042,79.167,79.167,66.667
77.917,80.093,79.167,79.167,76.389,76.667,73.958,81.944,81.25,79.167
61.667,68.519,70.312,70.833,72.917,72.5,78.125,79.167,77.083,83.333
33.75,33.796,32.812,31.548,31.25,29.167,29.167,27.778,27.083,25.0
63.75,69.907,71.875,73.81,71.528,71.667,70.833,69.444,70.833,79.167
78.75,80.093,82.292,86.31,86.111,84.167,81.25,76.389,83.333,87.5
34.583,37.5,39.062,39.286,42.361,40.833,38.542,40.278,41.667,50.0
25.0,30.556,30.729,27.976,27.083,27.5,23.958,27.778,31.25,33.333
55.417,51.852,52.604,55.357,55.556,60.0,59.375,56.944,60.417,66.667
50.833,52.315,51.562,55.357,56.25,58.333,56.25,58.333,58.333,62.5
36.667,40.741,39.583,36.905,37.5,36.667,36.458,34.722,35.417,54.167
43.75,46.296,47.917,52.976,50.694,48.333,46.875,47.222,50.0,54.167
53.417,56.404,57.483,58.095,57.87,58.5,57.986,58.38,58.819,61.528
